epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.164,1.47783,4.17996,1.42405,0.00147,0.11111,0.00215,0.00064,1.77701,5.22415,1.56051,0.000277778,0.000277778,0.000277778
2,29.2762,1.37684,3.75473,1.31181,0.00248,0.22222,0.22167,0.03333,2.08518,5.69259,1.82207,0.000605061,0.000605061,0.000605061
3,43.1975,1.46425,3.38369,1.29526,0,0,0,0,2.08825,5.59774,1.85685,0.000925744,0.000925744,0.000925744
4,57.2732,1.52872,3.13742,1.41015,0.00139,0.11111,0.00266,0.00027,2.96341,5.81669,2.41791,0.0009703,0.0009703,0.0009703
5,71.4148,1.56236,2.82566,1.43253,0.00131,0.11111,0.11167,0.04467,2.90694,6.04267,2.34708,0.0009604,0.0009604,0.0009604
6,85.3976,1.4747,2.69858,1.36479,0.01646,0.44444,0.2775,0.07783,2.80491,5.74889,2.09253,0.0009505,0.0009505,0.0009505
7,99.4851,1.49494,2.44662,1.32457,0.01497,0.55556,0.35383,0.17045,2.46,5.27991,1.79731,0.0009406,0.0009406,0.0009406
8,113.436,1.42017,2.34986,1.32508,0.00989,0.55556,0.37197,0.08781,2.39037,4.95537,1.94947,0.0009307,0.0009307,0.0009307
9,127.446,1.46994,2.26566,1.32619,0.00853,0.55556,0.37197,0.18204,2.49934,4.79807,1.96784,0.0009208,0.0009208,0.0009208
10,141.311,1.36672,2.10532,1.30213,0.90482,0.33333,0.42033,0.1527,2.56257,4.84305,2.03304,0.0009109,0.0009109,0.0009109
11,155.814,1.34594,2.1475,1.24362,0.92201,0.33333,0.40556,0.15818,2.53013,4.69189,1.9836,0.000901,0.000901,0.000901
12,170.249,1.36686,2.09756,1.28109,0.96791,0.33333,0.50283,0.24481,2.34891,4.37082,1.84639,0.0008911,0.0008911,0.0008911
13,185.121,1.33578,2.0335,1.28074,0.98223,0.33333,0.50283,0.24643,2.38552,4.25703,1.80632,0.0008812,0.0008812,0.0008812
14,202.37,1.29714,1.86858,1.18639,0.9903,0.33333,0.60833,0.33055,2.27929,4.13661,1.87057,0.0008713,0.0008713,0.0008713
15,219.249,1.234,1.84106,1.19195,0.98562,0.33333,0.55333,0.28817,2.39123,4.21133,1.98241,0.0008614,0.0008614,0.0008614
16,236.177,1.32123,1.96527,1.20428,0.96471,0.33333,0.55333,0.28783,2.42252,4.44515,1.82527,0.0008515,0.0008515,0.0008515
17,252.683,1.26449,2.06481,1.21561,0.98034,0.33333,0.57167,0.22836,2.17063,4.19311,1.56553,0.0008416,0.0008416,0.0008416
18,269.71,1.22494,1.78567,1.17981,0.97571,0.33333,0.55333,0.2325,2.03194,4.54911,1.73761,0.0008317,0.0008317,0.0008317
19,286.766,1.24312,1.69807,1.15257,0.97987,0.33333,0.55333,0.23792,1.99332,4.61351,1.7266,0.0008218,0.0008218,0.0008218
20,303.707,1.20613,1.71415,1.15444,0.98396,0.33333,0.51667,0.24344,2.31198,4.61773,1.97788,0.0008119,0.0008119,0.0008119
21,319.011,1.29498,1.74817,1.17412,0.98484,0.33333,0.55333,0.23244,2.23196,4.66046,1.80243,0.000802,0.000802,0.000802
22,333.186,1.14693,1.67515,1.14358,0.97123,0.33333,0.56708,0.31154,2.23167,3.9674,1.596,0.0007921,0.0007921,0.0007921
23,347.458,1.23584,1.6818,1.14884,0.97382,0.33333,0.56433,0.2781,2.32347,4.04416,1.66168,0.0007822,0.0007822,0.0007822
24,361.605,1.11017,1.71082,1.13188,0.4126,0.5071,0.39781,0.20595,2.18762,4.11076,1.70127,0.0007723,0.0007723,0.0007723
25,376.532,1.17951,1.65423,1.13841,0.41284,0.54435,0.40125,0.20071,2.15759,3.96031,1.73122,0.0007624,0.0007624,0.0007624
26,393.587,1.15449,1.66665,1.13054,0.7929,0.506,0.5769,0.28116,2.07484,4.12079,1.75817,0.0007525,0.0007525,0.0007525
27,410.158,1.14095,1.56863,1.14359,0.78124,0.5266,0.58633,0.30487,2.05294,3.99062,1.68879,0.0007426,0.0007426,0.0007426
28,427.116,1.14172,1.46167,1.13076,0.46679,0.51701,0.56051,0.29751,1.98158,3.82298,1.7271,0.0007327,0.0007327,0.0007327
29,443.146,1.09881,1.53421,1.12554,0.35473,0.44444,0.52236,0.21009,2.10255,3.89473,1.95581,0.0007228,0.0007228,0.0007228
30,458.252,1.09191,1.40019,1.13384,0.44102,0.44444,0.52492,0.23076,2.04686,4.08326,1.91458,0.0007129,0.0007129,0.0007129
31,475.045,1.12257,1.47977,1.08144,0.43852,0.44444,0.52767,0.22697,2.12301,4.35917,1.92145,0.000703,0.000703,0.000703
32,491.642,1.11133,1.55391,1.09038,0.28247,0.44444,0.4931,0.19674,1.87337,4.09191,1.77973,0.0006931,0.0006931,0.0006931
33,507.998,0.9998,1.41144,1.11688,0.41048,0.44444,0.49283,0.20824,1.97492,4.16971,1.7617,0.0006832,0.0006832,0.0006832
34,524.512,1.03749,1.30186,1.0588,0.59257,0.33333,0.50383,0.164,2.34628,4.06728,2.00424,0.0006733,0.0006733,0.0006733
35,541.373,1.03821,1.29362,1.07606,0.6119,0.33333,0.46533,0.15632,2.32374,3.95391,1.96084,0.0006634,0.0006634,0.0006634
36,558.654,1.07157,1.33239,1.08388,0.38251,0.4668,0.52033,0.24383,2.24903,3.72608,2.19392,0.0006535,0.0006535,0.0006535
37,575.571,1.09603,1.37313,1.07952,0.97385,0.33333,0.47633,0.25602,2.2347,3.73416,2.14721,0.0006436,0.0006436,0.0006436
38,592.745,1.0196,1.27648,1.06456,0.41222,0.54004,0.535,0.24036,2.25991,4.02705,2.01277,0.0006337,0.0006337,0.0006337
39,609.149,0.98707,1.22109,1.04055,0.36767,0.44444,0.47633,0.22535,2.23015,4.18602,2.03121,0.0006238,0.0006238,0.0006238
40,625.725,1.04879,1.29435,1.06,0.4582,0.61111,0.55792,0.1841,2.24279,3.94796,2.12241,0.0006139,0.0006139,0.0006139
41,640.366,0.98682,1.19935,1.04644,0.49196,0.56836,0.55792,0.18977,2.38284,3.73936,2.25259,0.000604,0.000604,0.000604
42,654.494,0.94457,1.22665,1.03966,0.94693,0.49749,0.56512,0.24697,2.29535,3.38317,2.13863,0.0005941,0.0005941,0.0005941
43,670.946,1.00801,1.2756,1.05298,0.95022,0.46925,0.5769,0.29675,2.23407,3.48525,2.01538,0.0005842,0.0005842,0.0005842
44,685.771,0.88617,1.1292,1.01485,0.53297,0.52939,0.59458,0.2346,2.11027,3.61962,1.94092,0.0005743,0.0005743,0.0005743
45,700.054,0.91642,1.18519,1.03482,0.54641,0.57813,0.59458,0.23602,1.94836,3.80294,1.8383,0.0005644,0.0005644,0.0005644
46,714.105,0.97108,1.16036,1.03227,0.51439,0.51298,0.56512,0.20772,1.86379,3.75821,1.65456,0.0005545,0.0005545,0.0005545
47,728.495,0.96746,1.28225,1.06859,0.47415,0.61111,0.54967,0.18381,1.95891,3.88816,1.72617,0.0005446,0.0005446,0.0005446
48,742.921,1.00474,1.23335,1.05547,0.59551,0.66469,0.58633,0.25657,1.94584,3.69774,1.76055,0.0005347,0.0005347,0.0005347
49,757.085,0.95829,1.18434,1.0587,0.69386,0.69686,0.58633,0.25402,1.92754,3.7284,1.80967,0.0005248,0.0005248,0.0005248
50,771.128,0.92024,1.09055,1.0126,0.55862,0.11111,0.34167,0.17701,1.77475,3.88153,1.80159,0.0005149,0.0005149,0.0005149
51,785.36,0.88501,1.03909,1.02673,0.43926,0.11111,0.29059,0.15869,1.75787,3.87468,1.77735,0.000505,0.000505,0.000505
52,799.573,0.97347,1.11269,1.03524,0.82002,0.11111,0.44504,0.14248,1.94077,4.11899,1.8701,0.0004951,0.0004951,0.0004951
53,813.904,0.87709,1.10028,1.01661,0.41356,0.11111,0.30287,0.14739,2.03223,3.89411,1.97389,0.0004852,0.0004852,0.0004852
54,828.224,0.9067,1.10582,1.0362,0.34609,0.44444,0.45283,0.2456,2.21326,3.60941,2.06505,0.0004753,0.0004753,0.0004753
