epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0769,1.75527,4.64886,1.77487,0.00069,0.125,0.00055,5e-05,1.60714,4.85561,1.60415,0.0003125,0.0003125,0.0003125
2,21.3506,1.60078,4.45061,1.64262,0,0,0,0,1.99693,5.03949,1.8332,0.000720143,0.000720143,0.000720143
3,31.6851,1.62294,4.02708,1.60054,0.00087,0.25,0.01036,0.00311,2.05514,4.97275,1.85042,0.00111747,0.00111747,0.00111747
4,41.8475,1.79058,4.24067,1.68869,0.00139,0.375,0.01305,0.00184,2.05521,5.09746,1.59955,0.00120359,0.00120359,0.00120359
5,52.2571,1.70595,3.81081,1.62317,0.00132,0.375,0.13562,0.04181,1.95095,4.78387,1.68054,0.00118812,0.00118812,0.00118812
6,62.7048,1.83402,3.59905,1.63665,0.0013,0.375,0.08635,0.01035,2.01627,5.04687,1.73272,0.00117266,0.00117266,0.00117266
7,73.0629,1.55128,3.21557,1.42858,0.00135,0.375,0.0139,0.00387,2.25029,4.98383,1.98364,0.00115719,0.00115719,0.00115719
8,83.4036,1.76154,3.26526,1.56357,0.00063,0.125,0.00427,0.00128,2.39409,4.97173,1.94675,0.00114172,0.00114172,0.00114172
9,93.8258,1.71022,3.54573,1.61015,0,0,0,0,2.57163,5.25017,2.19917,0.00112625,0.00112625,0.00112625
10,104.157,1.77197,3.26777,1.62675,0,0,0,0,3.01733,5.42782,2.61414,0.00111078,0.00111078,0.00111078
11,114.413,1.63626,3.08763,1.57338,0,0,0,0,2.53507,5.33054,2.17281,0.00109531,0.00109531,0.00109531
12,124.835,1.60209,2.89395,1.49494,0,0,0,0,2.45785,5.13349,2.09847,0.00107984,0.00107984,0.00107984
13,135.142,1.45675,2.65705,1.42994,0.00071,0.25,0.00578,0.00231,2.71803,5.28289,2.22778,0.00106437,0.00106437,0.00106437
14,145.468,1.629,3.33738,1.53047,0.00068,0.25,0.00592,0.00474,2.98753,5.4548,2.49678,0.00104891,0.00104891,0.00104891
15,155.858,1.49205,2.76992,1.37774,0.00132,0.375,0.00213,0.00072,2.56808,5.18211,2.04516,0.00103344,0.00103344,0.00103344
16,166.262,1.56736,2.79822,1.44137,0.00132,0.375,0.00263,0.00144,2.22867,5.06523,1.91002,0.00101797,0.00101797,0.00101797
17,176.703,1.5915,2.72564,1.48985,0.00131,0.375,0.05098,0.02963,2.26813,4.84859,1.88153,0.0010025,0.0010025,0.0010025
18,187.761,1.42868,2.75455,1.40396,0.25662,0.25,0.145,0.09531,2.21423,4.9014,1.86047,0.000987031,0.000987031,0.000987031
19,198.363,1.35612,2.57958,1.37009,0.00135,0.375,0.10354,0.06019,2.09512,4.78114,1.73003,0.000971562,0.000971562,0.000971562
20,209.499,1.50956,2.65561,1.36609,0.85235,0.25,0.13675,0.09325,2.15481,4.81575,1.89909,0.000956094,0.000956094,0.000956094
